Event(34)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(34), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(20)[affAgent=Agent [id=9, qualif=1, currentClock=370, estimatedEnd=445], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(20), startTime=445, timeWindow=516 +  || P: 370 Source: (18)]
Event(9)[affAgent=Agent [id=6, qualif=1, currentClock=362, estimatedEnd=452], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(9), startTime=452, timeWindow=1110 +  || P: 362 Source: (3)]
Event(30)[affAgent=Agent [id=14, qualif=1, currentClock=387, estimatedEnd=462], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(30), startTime=462, timeWindow=504 +  || P: 387 Source: (6)]
Event(21)[affAgent=Agent [id=10, qualif=1, currentClock=378, estimatedEnd=468], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(21), startTime=468, timeWindow=1096 +  || P: 378 Source: (4)]
Event(25)[affAgent=Agent [id=12, qualif=1, currentClock=380, estimatedEnd=470], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(25), startTime=470, timeWindow=1091 +  || P: 380 Source: (22)]
Event(1)[affAgent=Agent [id=1, qualif=1, currentClock=360, estimatedEnd=480], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(1), startTime=480, timeWindow=1080 +  || P: 360 Source: (0)]
Event(6)[affAgent=Agent [id=16, qualif=2, currentClock=381, estimatedEnd=486], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(6), startTime=486, timeWindow=482 +  || P: 381 Source: (0)]
Event(15)[affAgent=Agent [id=4, qualif=1, currentClock=368, estimatedEnd=488], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(15), startTime=488, timeWindow=1076 +  || P: 368 Source: (10)]
Event(2)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(2), startTime=660, timeWindow=720 +  || P: 0 Source: null]
Event(8)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(8), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(11)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(11), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(13)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(13), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(14)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(14), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(23)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(23), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(24)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(24), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(31)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(31), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(35)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(35), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(42)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(42), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(43)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(43), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(45)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(45), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(50)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(50), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(54)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(54), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(59)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(59), startTime=660, timeWindow=810 +  || P: 0 Source: null]
Event(64)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(64), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(70)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(70), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(72)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(72), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(75)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(75), startTime=660, timeWindow=720 +  || P: 0 Source: null]
Event(78)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(78), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(81)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(81), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(7)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(7), startTime=960, timeWindow=1125 +  || P: 0 Source: null]
Event(28)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(28), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(32)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(32), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(36)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(36), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(46)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(46), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(51)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(51), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(60)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(60), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(61)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(61), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(65)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(65), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(67)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(67), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(71)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(71), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(79)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(79), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(84)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(84), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
